date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2015-12-15,Tomatoes - Retail,KG,vegetables and fruits,54.0,DZD,Algeria,Alger,344,Algiers,1794,114,15,5,4,1794_114_15_5,
2016-01-15,Tomatoes - Retail,KG,vegetables and fruits,40.0,DZD,Algeria,Alger,344,Algiers,1794,114,15,5,4,1794_114_15_5,
2016-02-15,Tomatoes - Retail,KG,vegetables and fruits,52.0,DZD,Algeria,Alger,344,Algiers,1794,114,15,5,4,1794_114_15_5,
2016-03-15,Tomatoes - Retail,KG,vegetables and fruits,67.0,DZD,Algeria,Alger,344,Algiers,1794,114,15,5,4,1794_114_15_5,
2016-07-15,Tomatoes - Retail,KG,vegetables and fruits,45.0,DZD,Algeria,Alger,344,Algiers,1794,114,15,5,4,1794_114_15_5,
2016-08-15,Tomatoes - Retail,KG,vegetables and fruits,100.0,DZD,Algeria,Alger,344,Algiers,1794,114,15,5,4,1794_114_15_5,
2016-09-15,Tomatoes - Retail,KG,vegetables and fruits,70.0,DZD,Algeria,Alger,344,Algiers,1794,114,15,5,4,1794_114_15_5,
2016-10-15,Tomatoes - Retail,KG,vegetables and fruits,40.0,DZD,Algeria,Alger,344,Algiers,1794,114,15,5,4,1794_114_15_5,
2015-04-15,Oil - Retail,L,oil and fats,120.0,DZD,Algeria,Alger,344,Algiers,1794,137,15,15,6,1794_137_15_15,
2015-05-15,Oil - Retail,L,oil and fats,115.4,DZD,Algeria,Alger,344,Algiers,1794,137,15,15,6,1794_137_15_15,
2015-06-15,Oil - Retail,L,oil and fats,115.4,DZD,Algeria,Alger,344,Algiers,1794,137,15,15,6,1794_137_15_15,
2015-07-15,Oil - Retail,L,oil and fats,115.4,DZD,Algeria,Alger,344,Algiers,1794,137,15,15,6,1794_137_15_15,
2015-08-15,Oil - Retail,L,oil and fats,116.0,DZD,Algeria,Alger,344,Algiers,1794,137,15,15,6,1794_137_15_15,
2015-09-15,Oil - Retail,L,oil and fats,112.0,DZD,Algeria,Alger,344,Algiers,1794,137,15,15,6,1794_137_15_15,
2015-10-15,Oil - Retail,L,oil and fats,112.0,DZD,Algeria,Alger,344,Algiers,1794,137,15,15,6,1794_137_15_15,
2015-11-15,Oil - Retail,L,oil and fats,114.0,DZD,Algeria,Alger,344,Algiers,1794,137,15,15,6,1794_137_15_15,
2015-12-15,Oil - Retail,L,oil and fats,114.0,DZD,Algeria,Alger,344,Algiers,1794,137,15,15,6,1794_137_15_15,
2016-01-15,Oil - Retail,L,oil and fats,114.0,DZD,Algeria,Alger,344,Algiers,1794,137,15,15,6,1794_137_15_15,
2016-02-15,Oil - Retail,L,oil and fats,115.0,DZD,Algeria,Alger,344,Algiers,1794,137,15,15,6,1794_137_15_15,
